Row_id,Order_id,Order_date,Ship_date,Ship_mode,Customer_id,Customer_name,Segment,Country,City,State,Postal_code,Region,Product_id,Category,Sub_category,Product_name,Sales,Quantity,Discount,Profit
21,CA-2014-143336,8/27/2014,09-01-2014,"Second Class",ZD-21925,"Zuschuss Donatelli",Consumer,"United States","San Francisco",California,94109,West,OFF-BI-10002215,"Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.20,7.38
26,CA-2016-121755,1/16/2016,1/20/2016,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,OFF-BI-10001634,"Office Supplies",Binders,"Wilson Jones Active Use Binders",11.65,2,0.20,4.22
27,CA-2016-121755,1/16/2016,1/20/2016,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0.00,11.77
43,CA-2016-101343,7/17/2016,7/22/2016,"Standard Class",RA-19885,"Ruben Ausman",Corporate,"United States","Los Angeles",California,90049,West,OFF-ST-10003479,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.00,3.89
63,CA-2015-135545,11/24/2015,11/30/2015,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.00,6.15
64,CA-2015-135545,11/24/2015,11/30/2015,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,OFF-BI-10001078,"Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"""",25.82,6,0.20,9.36
65,CA-2015-135545,11/24/2015,11/30/2015,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,OFF-PA-10003892,"Office Supplies",Paper,"Xerox 1943",146.73,3,0.00,68.96
66,CA-2015-135545,11/24/2015,11/30/2015,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,FUR-FU-10000397,Furniture,Furnishings,"Luxo Economy Swing Arm Lamp",79.76,4,0.00,22.33
82,CA-2014-139451,10-12-2014,10/16/2014,"Standard Class",DN-13690,"Duane Noonan",Consumer,"United States","San Francisco",California,94122,West,OFF-AR-10002053,"Office Supplies",Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5,0.00,4.17
83,CA-2014-139451,10-12-2014,10/16/2014,"Standard Class",DN-13690,"Duane Noonan",Consumer,"United States","San Francisco",California,94122,West,OFF-ST-10002370,"Office Supplies",Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.00,6.20
90,CA-2016-109806,9/17/2016,9/22/2016,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,OFF-AR-10004930,"Office Supplies",Art,"Turquoise Lead Holder with Pocket Clip",20.10,3,0.00,6.63
91,CA-2016-109806,9/17/2016,9/22/2016,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",73.58,2,0.20,8.28
92,CA-2016-109806,9/17/2016,9/22/2016,"Standard Class",JS-15685,"Jim Sink",Corporate,"United States","Los Angeles",California,90036,West,OFF-PA-10000304,"Office Supplies",Paper,"Xerox 1995",6.48,1,0.00,3.11
98,CA-2017-157833,6/17/2017,6/20/2017,"First Class",KD-16345,"Katherine Ducich",Consumer,"United States","San Francisco",California,94122,West,OFF-BI-10001721,"Office Supplies",Binders,"Trimflex Flexible Post Binders",51.31,3,0.20,17.96
129,US-2016-125969,11-06-2016,11-10-2016,"Second Class",LS-16975,"Lindsay Shagiari","Home Office","United States","Los Angeles",California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.42,2,0.20,-9.16
130,US-2016-125969,11-06-2016,11-10-2016,"Second Class",LS-16975,"Lindsay Shagiari","Home Office","United States","Los Angeles",California,90004,West,FUR-FU-10003773,Furniture,Furnishings,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",238.56,3,0.00,26.24
134,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,OFF-PA-10001804,"Office Supplies",Paper,"Xerox 195",20.04,3,0.00,9.62
135,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,OFF-PA-10001736,"Office Supplies",Paper,"Xerox 1880",35.44,1,0.00,16.66
136,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,OFF-AR-10001149,"Office Supplies",Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.00,3.46
137,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,OFF-FA-10002988,"Office Supplies",Fasteners,"Ideal Clamps",4.02,2,0.00,1.97
138,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,OFF-BI-10004781,"Office Supplies",Binders,"GBC Wire Binding Strips",76.18,3,0.20,26.66
139,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,OFF-SU-10001218,"Office Supplies",Supplies,"Fiskars Softgrip Scissors",65.88,6,0.00,18.45
140,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,FUR-FU-10001706,Furniture,Furnishings,"Longer-Life Soft White Bulbs",43.12,14,0.00,20.70
